"Show Title","Creator/Showrunner","Character","Role","Gender","Orientation","Species","Race","Disability","Relationship Status","Explicit/Implicit Representation","Confirmation Action 1","Confirmation Action 2","Confirmation Action 3","Finale Confirmation","Deceased","Year Released","Year Confirmed","Series Confirmation Gap","Genre 1","Genre 2","Genre 3","Rating","Common Sense Media Parent Rating Minimum","Common Sense Media Kid Rating Minimum","Rating Gap","Platform","Studio(s)","Broadcast/Cable/Streaming","Paywall"
"My Little Pony: Equestria Girls","Unknown","Sunset Shimmer","Recurring Character","Woman","Bisexual","Non-Human","N/A","Unknown","Single","Implicit","Affection","Social Media","","No","Yes","2017","2019","2","Adventure","Fantasy","Musical","TV-Y","N/A","N/A","#VALUE!","My Little Pony Official YouTube Channel","Hasbro Studios, WildBrain Studios","Streaming","Yes"
"My Little Pony: Friendship is Magic","Lauren Faust, Meghan McCarthy","Auntie Lofty","Guest Character","Woman","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Social Media","Companion Material","Romantic Partnership","No","No","2010","2019","9","Adventure","Fantasy","Musical","TV-Y","6","5","1","Discovery Family","Hasbro Studios, WildBrain Studios","Cable","Yes"
"My Little Pony: Friendship is Magic","Lauren Faust, Meghan McCarthy","Aunt Holiday","Guest Character","Woman","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Social Media","Parenting","Character Proximity","No","No","2010","2019","9","Adventure","Fantasy","Musical","TV-Y","6","5","1","Discovery Family","Hasbro Studios, WildBrain Studios","Cable","Yes"
"My Little Pony: Friendship is Magic","Lauren Faust, Meghan McCarthy","Sombra","Guest Character","Man","Bisexual","Non-Human","N/A","Unknown","Single","Implicit","Social Media","","","No","Yes","2010","2019","9","Adventure","Fantasy","Musical","TV-Y","6","5","1","Discovery Family","Hasbro Studios, WildBrain Studios","Cable","Yes"
"My Little Pony: Friendship is Magic","Lauren Faust, Meghan McCarthy","Lyra Heartstrings","Recurring Character","Woman","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Romantic Partnership","Character Proximity","","Yes","No","2010","2019","9","Adventure","Fantasy","Musical","TV-Y","6","5","1","Discovery Family","Hasbro Studios, WildBrain Studios","Cable","Yes"
"My Little Pony: Friendship is Magic","Lauren Faust, Meghan McCarthy","Sweetie Drops","Recurring Character","Woman","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Romantic Partnership","Character Proximity","","Yes","No","2010","2019","9","Adventure","Fantasy","Musical","TV-Y","6","5","1","Discovery Family","Hasbro Studios, WildBrain Studios","Cable","Yes"
"Mysticons","Sean Jara","Zarya Moonwolf","Main Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Social Media","Affection","Confession","No","No","2017","2018","1","Action","Comedy","Fantasy","TV-Y7","7","6","1","Nickelodeon, Nicktoons","Nelvana","Cable","Yes"
"Mysticons","Sean Jara","Kitty Boon","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Dating","Explicit","Social Media","Affection","Confession","No","No","2017","2018","1","Action","Comedy","Fantasy","TV-Y7","7","6","1","Nickelodeon, Nicktoons","Nelvana","Cable","Yes"
"Nomad of Nowhere","Georden Whitman, Jordan Cwierz, Miles Luna, Eddy Rivas","Skout","Main Character","Cis, Woman","Lesbian","Human","White","N/A","Single","Implicit","Social Media","Affection","","No","No","2018","2018","0","Adventure","Fantasy","Western","TV-PG","N/A","N/A","#VALUE!","Rooster Teeth Animation YouTube Channel","Rooster Teeth Animation, Otter Media","Streaming","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Green Guts","Guest Character","Cis, Woman","Lesbian","Human","POC","N/A","Single","Implicit","Social Media","","","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Black Strategy","Guest Character","Cis, Woman","Lesbian","Human","POC","N/A","Single","Implicit","Social Media","","","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Yellow Technique","Guest Character","Cis, Woman","Lesbian","Human","POC","N/A","Single","Implicit","Social Media","","","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Blue Power","Guest Character","Cis, Woman","Lesbian","Human","POC","N/A","Single","Implicit","Social Media","","","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Gregg","Guest Character","Nonbinary","Undetermined","Non-Human","N/A","N/A","Single","Implicit","Social Media","","","No","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Enid","Main Character","Cis, Woman","Bisexual","Human-Hybrid","POC","N/A","Dating","Explicit","Social Media","Kiss","LGBTQ Symbols/Symbolism","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Lord Boxman","Recurring Character","Cis, Man","Pansexual","Human","Undetermined","N/A","Married","Explicit","Social Media","Affection","Romantic Gestures","No","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Professor Venomous","Recurring Character","Cis, Man","Bisexual","Human","Undetermined","N/A","Married","Explicit","Social Media","Affection","Romantic Gestures","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Joff","Recurring Character","Cis, Man","Gay","Human","POC","N/A","Married","Explicit","Proposal/Marriage","Confession","Social Media","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Nick Army","Recurring Character","Cis, Man","Gay","Human","White","N/A","Married","Explicit","Proposal/Marriage","Confession","Social Media","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Red Action","Recurring Character","Cis, Woman","Lesbian","Human","Unknown","Amputee/Limb Difference","Dating","Explicit","Social Media","Kiss","Affection","Yes","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"OK K.O.! Let's Be Heroes","Ian Jones-Quartey","Radicles","Supporting Character","Man","Fluid","Non-Human","N/A","N/A","Single","Implicit","Social Media","Affection","","No","No","2017","2019","2","Action","Adventure","Comedy","TV-Y7-FV","9","7","2","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Pete the Cat","Jeff Marsh","Stan","Guest Character","Man","Gay","Non-Human","N/A","N/A","Married","Explicit","Parenting","","","No","No","2017","2018","1","Comedy","Family","","TV-Y","3","N/A","#VALUE!","Amazon Prime Video","Amazon Studios","Streaming","Yes"
"Pete the Cat","Jeff Marsh","Syd","Guest Character","Man","Gay","Non-Human","N/A","N/A","Married","Explicit","Parenting","","","No","No","2017","2018","1","Comedy","Family","","TV-Y","3","N/A","#VALUE!","Amazon Prime Video","Amazon Studios","Streaming","Yes"
"Postcards from Buster","Marc Brown, Carol Greenwald","Karen","Guest Character","Cis, Woman","Lesbian","Human","White","N/A","Married","Explicit","Parenting","","","No","No","2004","2005","1","Comedy","Family","","TV-Y","4","5","-1","PBS Kids","Marc Brown Studios, WGBH Studios","Broadcast","No"
"Postcards from Buster","Marc Brown, Carol Greenwald","Gillian","Guest Character","Cis, Woman","Lesbian","Human","White","N/A","Married","Explicit","Parenting","","","No","No","2004","2005","1","Comedy","Family","","TV-Y","4","5","-1","PBS Kids","Marc Brown Studios, WGBH Studios","Broadcast","No"
"Ready Jet Go!","Craig Bartlett","Spinach Propulsion","Guest Character","Unknown","Unknown","Non-Human","N/A","Unknown","Single","Implicit","Social Media","","","No","No","2016","2020","4","Adventure","Comedy","Fantasy","TV-Y","5","6","-1","PBS Kids","Wind Dancer Films, Snee-Oosh Productions","Broadcast","No"
"Ready Jet Go!","Craig Bartlett","Zerk","Guest Character","Unknown","Unknown","Non-Human","N/A","Unknown","Single","Implicit","Social Media","","","No","No","2016","2020","4","Adventure","Comedy","Fantasy","TV-Y","5","6","-1","PBS Kids","Wind Dancer Films, Snee-Oosh Productions","Broadcast","No"
"Ready Jet Go!","Craig Bartlett","Jet Propulsion","Main Character","Unknown","Unknown","Non-Human","N/A","Unknown","Single","Implicit","Social Media","","","No","No","2016","2020","4","Adventure","Comedy","Fantasy","TV-Y","5","6","-1","PBS Kids","Wind Dancer Films, Snee-Oosh Productions","Broadcast","No"
"Ready Jet Go!","Craig Bartlett","Zucchini","Recurring Character","Unknown","Unknown","Non-Human","N/A","Unknown","Married","Implicit","Social Media","","","No","No","2016","2020","4","Adventure","Comedy","Fantasy","TV-Y","5","6","-1","PBS Kids","Wind Dancer Films, Snee-Oosh Productions","Broadcast","No"
"Ready Jet Go!","Craig Bartlett","Carrot Propulsion","Supporting Character","Unknown","Unknown","Non-Human","N/A","Unknown","Married","Implicit","Social Media","","","No","No","2016","2020","4","Adventure","Comedy","Fantasy","TV-Y","5","6","-1","PBS Kids","Wind Dancer Films, Snee-Oosh Productions","Broadcast","No"
"Ready Jet Go!","Craig Bartlett","Celery Propulsion","Supporting Character","Unknown","Unknown","Non-Human","N/A","Unknown","Married","Implicit","Social Media","","","No","No","2016","2020","4","Adventure","Comedy","Fantasy","TV-Y","5","6","-1","PBS Kids","Wind Dancer Films, Snee-Oosh Productions","Broadcast","No"
"Scooby Doo! Mystery Incorporated","Joe Ruby, Ken Spears","Velma Dinkley","Main Character","Cis, Woman","Lesbian","Human","White","Low Vision","Single","Implicit","Social Media","Character Proximity","","No","No","2010","2020","10","Adventure","Comedy","Horror","TV-Y7-FV","10","9","1","Cartoon Network","Warner Bros. Animation","Cable","Yes"
"Scooby Doo! Mystery Incorporated","Joe Ruby, Ken Spears","Marcie Fleach","Recurring Character","Cis, Woman","Unknown","Human","White","Blurred Vision","Single","Implicit","Social Media","Character Proximity","","No","No","2010","2020","10","Adventure","Comedy","Horror","TV-Y7-FV","10","9","1","Cartoon Network","Warner Bros. Animation","Cable","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","George","Guest Character","Cis, Man","Gay","Human","POC","N/A","Married","Explicit","Creative Team Interview","Marketing","Parenting","No","No","2018","2018","0","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Crimson Waste Barmaid","Guest Character","Woman","Queer","Non-Human","N/A","N/A","Single","Implicit","Affection","","","No","No","2018","2019","1","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Lance","Guest Character","Cis, Man","Gay","Human","POC","Blurred Vision","Married","Explicit","Creative Team Interview","Marketing","Parenting","No","No","2018","2018","0","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Falcon","Guest Character","Cis, Man","Queer","Human","White","N/A","Exes","Implicit","Social Media","","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Jewelstar","Guest Character","Trans, Man","Undetermined","Non-Human","N/A","Blurred Vision","Single","Implicit","Social Media","","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Bow","Main Character","Cis, Man","Bisexual","Human","POC","N/A","Dating","Implicit","Social Media","","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Glimmer","Main Character","Cis, Woman","Bisexual","Human","POC","N/A","Dating","Implicit","Social Media","","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Catra","Main Character","Cis, Woman","Lesbian","Human-Hybrid","POC","N/A","Dating","Explicit","Kiss","Romantic Gestures","Romantic Partnership","Yes","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Adora","Main Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Kiss","Romantic Gestures","Romantic Partnership","Yes","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Netossa","Recurring Character","Cis, Woman","Lesbian","Human","POC","N/A","Married","Explicit","Creative Team Interview","Romantic Partnership","Affection","No","No","2018","2018","0","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Spinnerella","Recurring Character","Cis, Woman","Lesbian","Human","White","N/A","Married","Explicit","Creative Team Interview","Affection","Romantic Partnership","No","No","2018","2018","0","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Light Hope","Recurring Character","Woman","Queer","Non-Human","N/A","N/A","Single","Explicit","Creative Team Interview","Social Media","","No","Yes","2018","2019","1","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Mara","Recurring Character","Cis, Woman","Queer","Human","POC","N/A","Single","Explicit","Creative Team Interview","Social Media","","No","Yes","2018","2019","1","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Huntura","Recurring Character","Woman","Queer","Non-Human","N/A","N/A","Single","Implicit","Romantic Gestures","","","No","No","2018","2019","1","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Double Trouble","Recurring Character","Nonbinary","Queer","Non-Human","N/A","N/A","Single","Explicit","Creative Team Interview","Pronouns","Marketing","No","No","2018","2019","1","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Lonnie","Recurring Character","Cis, Woman","Undetermined","Human","POC","N/A","Dating","Implicit","Social Media","Character Proximity","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Sea Hawk","Recurring Character","Cis, Man","Queer","Human","White","N/A","Exes","Implicit","Social Media","","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Rogelio","Recurring Character","Man","Gay","Non-Human","N/A","N/A","Dating","Explicit","Social Media","Affection","Romantic Symbols/Symbolism","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Perfuma","Recurring Character","Cis, Woman","Bisexual","Human","POC","N/A","Single","Implicit","Social Media","Affection","","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Kyle","Recurring Character","Cis, Man","Gay","Human","White","N/A","Dating","Explicit","Social Media","Confession","Character Proximity","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Scorpia","Supporting Character","Cis, Woman","Lesbian","Human-Hybrid","POC","N/A","Single","Explicit","Affection","Romantic Gestures","","No","No","2018","2019","1","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Mermista","Supporting Character","Cis, Woman","Bisexual","Human","POC","N/A","Dating","Implicit","Social Media","Affection","Romantic Partnership","No","No","2018","2020","2","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"She-Ra and the Princesses of Power","Noelle Stevenson","Entrapta","Supporting Character","Cis, Woman","Pansexual","Human","POC","Autistic","Dating","Implicit","Social Media","","","No","No","2018","2020","5","Action","Adventure","Science Fantasy","TV-Y7-FV","7","7","0","Netflix","DreamWorks Animation Television, Mattel Creations","Streaming","Yes"
"Star vs. the Forces of Evil","Daron Nefcy, Jordana Arkin, Dave Wasson","Chlo̩","Guest Character","Cis, Woman","Unknown","Human","POC","Unknown","Dating","Implicit","Social Media","Character Proximity","Affection","No","No","2015","2019","4","Action","Adventure","Comedy","TV-Y7","9","9","0","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"Star vs. the Forces of Evil","Daron Nefcy, Jordana Arkin, Dave Wasson","Jackie Lynn Thomas","Recurring Character","Cis, Woman","Unknown","Human","White","Unknown","Dating","Implicit","Social Media","Character Proximity","Affection","No","No","2015","2019","4","Action","Adventure","Comedy","TV-Y7","9","9","0","Disney Channel, Disney XD","Disney Television Animation","Cable","Yes"
"Star Wars Resistance","Dave Filoni","Flix","Recurring Character","Man","Gay","Non-Human","N/A","Unknown","Dating","Explicit","Creative Team Interview","Romantic Partnership","","No","No","2018","2019","1","Action","Comedy","Science Fiction","TV-Y7","6","6","0","Disney Channel, Disney XD","Lucasfilm Animation","Cable","Yes"
"Star Wars Resistance","Dave Filoni","Orka","Recurring Character","Man","Gay","Non-Human","N/A","Unknown","Dating","Explicit","Creative Team Interview","Romantic Partnership","","No","No","2018","2019","1","Action","Comedy","Science Fiction","TV-Y7","6","6","0","Disney Channel, Disney XD","Lucasfilm Animation","Cable","Yes"
"Star Wars: The Clone Wars","George Lucas","Ione Marcy","Guest Character","Woman","Unknown","Non-Human","N/A","Unknown","Dating","Implicit","Social Media","","","No","No","2008","2016","8","Action","Drama","Science Fiction","TV-PG","11","9","2","Cartoon Network, Disney+, Netflix","Lucasfilm Animation","Cable, Streaming","Yes"
"Star Wars: The Clone Wars","George Lucas","Cassie Cryar","Guest Character","Woman","Unknown","Non-Human","N/A","Unknown","Dating","Implicit","Social Media","","","No","No","2008","2016","8","Action","Drama","Science Fiction","TV-PG","11","9","2","Cartoon Network, Disney+, Netflix","Lucasfilm Animation","Cable, Streaming","Yes"
"Static Shock","Christoper Priest, Dwayne McDuffie, Denys Cowan, Michael Davis, Derek Dingle","Richie Foley","Main Character","Cis, Man","Gay","Human","White","Blurred Vision","Single","Implicit","Social Media","Romantic Rejection/Avoidance","Companion Material","No","No","2000","2005","5","Action","Adventure","Science Fiction","TV-Y7","N/A","7","#VALUE!","Kids' WB","DC Comics, Warner Bros. Animation","Broadcast","No"
"Steven Universe","Rebecca Sugar","Alexandrite","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2014","1","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Opal","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2014","1","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Nephrite","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2014","1","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Sardonyx","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Mystery Girl","Guest Character","Cis, Woman","Unknown","Human","White","N/A","Single","Explicit","Romantic Gestures","Confession","","No","No","2013","2016","3","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Topaz","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2017","4","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Defense Zircon","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2017","4","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Prosecuting Zircon","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2017","4","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Quentin Frowney","Guest Character","Cis, Man","Unknown","Human","White","N/A","Single","Implicit","Social Media","Figure of Speech","Companion Material","No","No","2013","2017","4","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Emerald","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2018","5","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Lemon Jade","Guest Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2018","5","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Sunstone","Guest Character","Nonbinary","Unknown","Human-Hybrid","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2019","6","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Rainbow Quartz 2.0","Guest Character","Nonbinary","Unknown","Human-Hybrid","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2019","6","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Steven Universe","Main Character","Gender Nonconforming","Unknown","Human","White","N/A","Single","Explicit","Gender Presentation","","","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Lapis Lazuli","Recurring Character","Nonbinary","Queer","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2014","1","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Sugilite","Recurring Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2014","1","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Lars Barriga","Recurring Character","Unknown","Queer","Human","POC","N/A","Single","Implicit","Affection","Romantic Partnership","","No","No","2013","2014","1","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Jasper","Recurring Character","Nonbinary","Queer","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Stevonnie","Recurring Character","Intersex, Nonbinary","Unknown","Human-Hybrid","POC","N/A","Single","Explicit","Marketing","Companion Material","","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Rose Quartz","Recurring Character","Nonbinary Femme","Bisexual","Non-Human","N/A","N/A","Dating","Explicit","Social Media","Romantic Partnership","","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Sapphire","Recurring Character","Nonbinary","Lesbian","Non-Human","N/A","N/A","Married","Explicit","Romantic Partnership","Kiss","Proposal/Marriage","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Ruby","Recurring Character","Nonbinary","Lesbian","Non-Human","N/A","N/A","Married","Explicit","Romantic Partnership","Kiss","Proposal/Marriage","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Malachite","Recurring Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2015","2","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Steven Universe","Rebecca Sugar","Blue Diamond","Recurring Character","Nonbinary","Unknown","Non-Human","N/A","N/A","Single","Explicit","Social Media","Creative Team Interview","","No","No","2013","2016","3","Adventure","Drama","Science Fiction","TV-PG","8","8","0","Cartoon Network","Cartoon Network Studios","Cable","Yes"
